AMP_CODE,AMPHOE_T,AMPHOE_E,PROV_CODE,PROV_NAM_T,PROV_NAM_E,Region,px_type1,px_type2,px_total,area_rai_1,area_rai_2,area_rai_aban,area_rai_tot,pct_aban
09,ทุ่งเสลี่ยม,Thung Saliam,64,สุโขทัย,Sukhothai,C,175,176,687023,98.44,99.0,197.44,386450.44,0.0511
01,เมืองพิษณุโลก,Mueang Phitsanu Lok,65,พิษณุโลก,Phitsanu Lok,C,698,3012,840350,392.62,1694.25,2086.88,472696.88,0.4415
02,นครไทย,Nakhon Thai,65,พิษณุโลก,Phitsanu Lok,C,4817,16625,2766907,2709.56,9351.56,12061.12,1556385.19,0.7749
03,ชาติตระการ,Chattakan,65,พิษณุโลก,Phitsanu Lok,C,497,2574,1941162,279.56,1447.88,1727.44,1091903.62,0.1582
04,บางระกำ,Bang Rakam,65,พิษณุโลก,Phitsanu Lok,C,371,1000,1133614,208.69,562.5,771.19,637657.88,0.1209
05,บางกระทุ่ม,Bang Krathum,65,พิษณุโลก,Phitsanu Lok,C,78,224,414506,43.88,126.0,169.88,233159.62,0.0729
06,พรหมพิราม,Phom Phiram,65,พิษณุโลก,Phitsanu Lok,C,128,345,968877,72.0,194.06,266.06,544993.31,0.0488
07,วัดโบสถ์,Wat Bot,65,พิษณุโลก,Phitsanu Lok,C,1780,1417,1041249,1001.25,797.06,1798.31,585702.56,0.307
08,วังทอง,Wang Thong,65,พิษณุโลก,Phitsanu Lok,C,1663,4961,2008293,935.44,2790.56,3726.0,1129664.81,0.3298
09,เนินมะปราง,Noen Mapang,65,พิษณุโลก,Phitsanu Lok,C,1343,5519,1297873,755.44,3104.44,3859.88,730053.56,0.5287
01,เมืองพิจิตร,Mueang Phichit,66,พิจิตร,Phichit,C,612,799,640583,344.25,449.44,793.69,360327.94,0.2203
02,วังทรายพูน,Wang Sai Phun,66,พิจิตร,Phichit,C,109,276,300936,61.31,155.25,216.56,169276.5,0.1279
03,โพธิ์ประทับช้าง,Pho Prathap Chang,66,พิจิตร,Phichit,C,36,467,473046,20.25,262.69,282.94,266088.38,0.1063
04,ตะพานหิน,Taphan Hin,66,พิจิตร,Phichit,C,48,315,518086,27.0,177.19,204.19,291423.38,0.0701
05,บางมูลนาก,Bang Mun Nak,66,พิจิตร,Phichit,C,43,93,458943,24.19,52.31,76.5,258155.44,0.0296
06,โพทะเล,Pho Thale,66,พิจิตร,Phichit,C,93,749,612476,52.31,421.31,473.62,344517.75,0.1375
07,สามง่าม,Sam Ngam,66,พิจิตร,Phichit,C,185,233,427381,104.06,131.06,235.12,240401.81,0.0978
08,ทับคล้อ,Thap Khlo,66,พิจิตร,Phichit,C,599,732,479006,336.94,411.75,748.69,269440.88,0.2779
09,สากเหล็ก,Sak Lek,66,พิจิตร,Phichit,C,200,1058,205776,112.5,595.12,707.62,115749.0,0.6113
10,บึงนาราง,Bung Na Rang,66,พิจิตร,Phichit,C,161,125,345078,90.56,70.31,160.88,194106.38,0.0829
