PROV_CODE,PROV_NAM_T,PROV_NAM_E,Region,px_type1,px_type2,px_total,area_rai_1,area_rai_2,area_rai_aban,area_rai_tot,pct_aban
81,กระบี่,Krabi,S,0,349,6042262,0.0,196.31,196.31,3398772.38,0.0058
82,พังงา,Phang Nga,S,156,1621,6243561,87.75,911.81,999.56,3512003.06,0.0285
83,ภูเก็ต,Phuket,S,73,541,625856,41.06,304.31,345.38,352044.0,0.0981
84,สุราษฎร์ธานี,Surat Thani,S,142,307,14913460,79.88,172.69,252.56,8388821.25,0.003
85,ระนอง,Ranong,S,0,228,3691243,0.0,128.25,128.25,2076324.19,0.0062
86,ชุมพร,Chumphon,S,31,96,6852057,17.44,54.0,71.44,3854282.06,0.0019
90,สงขลา,Songkhla,S,388,348,8762737,218.25,195.75,414.0,4929039.56,0.0084
91,สตูล,Satun,S,857,670,3426540,482.06,376.88,858.94,1927428.75,0.0446
92,ตรัง,Trang,S,396,1034,5371451,222.75,581.62,804.38,3021441.19,0.0266
93,พัทลุง,Phatthalung,S,4166,3616,4381096,2343.38,2034.0,4377.38,2464366.5,0.1776
94,ปัตตานี,Pattani,S,3226,10611,2241665,1814.62,5968.69,7783.31,1260936.56,0.6173
95,ยะลา,Yala,S,393,4019,5055579,221.06,2260.69,2481.75,2843763.19,0.0873
96,นราธิวาส,Narathiwat,S,298,566,5073040,167.62,318.38,486.0,2853585.0,0.017
